City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Vitoria Da Conquista,BR,75.81,light rain,-14.87,-40.84,Hotel Solar Vitória
22,Namatanai,PG,79.92,overcast clouds,-3.67,152.43,Namatanai Hotel
29,Mazatlan,MX,79.0,clear sky,23.22,-106.42,Gaviana Resort
36,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
37,Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
38,Tiarei,PF,75.2,few clouds,-17.53,-149.33,Le Rocher de Tahiti
41,Boyuibe,BO,80.6,smoke,-20.42,-63.28,Residencial Eluzai
42,Inhambane,MZ,84.2,few clouds,-23.86,35.38,Oceano
43,Acapulco,MX,77.0,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
46,Kapaa,US,78.8,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
47,Atuona,PF,76.95,clear sky,-9.8,-139.03,Villa Enata
48,Butaritari,KI,81.01,broken clouds,3.07,172.79,Isles Sunset Lodge
51,Cascavel,BR,86.18,clear sky,-24.96,-53.46,Copas Executive Hotel
52,Mogadishu,SO,82.4,broken clouds,2.04,45.34,Hotel Juba
54,Kavieng,PG,81.72,clear sky,-2.57,150.8,Nusa Island Retreat
55,Faanui,PF,78.35,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
63,Castro,BR,82.78,clear sky,-24.79,-50.01,CHACARA BAILLY
66,Bhigvan,IN,76.26,clear sky,18.32,74.77,Hotel Sagar
70,Hithadhoo,MV,84.61,clear sky,-0.6,73.08,Scoop Guest House
71,Kahului,US,78.8,clear sky,20.89,-156.47,Maui Seaside Hotel
77,Jeremie,HT,81.55,overcast clouds,18.65,-74.12,Auberge’Inn
81,Reconquista,AR,78.62,overcast clouds,-29.15,-59.65,Grand Hotel
83,Georgetown,MY,82.4,scattered clouds,5.41,100.34,Cititel Penang
85,Port Blair,IN,81.61,clear sky,11.67,92.75,Fortune Resort Bay Island
86,Jalu,LY,75.4,overcast clouds,29.03,21.55,Jalu Hotel
87,Bowen,AU,75.2,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
88,Hilo,US,75.2,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
93,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,Casa Tia Villa
100,Port Keats,AU,85.05,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
101,Lazaro Cardenas,MX,76.06,broken clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
108,Nakhon Sawan,TH,75.88,clear sky,15.7,100.08,The Paradiso JK Design Hotel Nakhon Sawan.
110,Musoma,TZ,80.6,scattered clouds,-1.5,33.8,New Peninsula Hotel
112,Orocue,CO,83.25,light rain,4.79,-71.34,Hotel Brisas de San Miguel
113,Bilma,NE,83.43,clear sky,18.69,12.92,Expeditions Ténére voyages
116,Cabo San Lucas,MX,78.8,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
120,Balabac,PH,80.73,clear sky,7.99,117.06,Sing and Swing Lodge
121,Progreso,MX,79.0,clear sky,21.28,-89.67,Playa Linda Hotel
122,Samarai,PG,81.09,moderate rain,-10.62,150.67,Nuli Sapi
123,Caravelas,BR,83.98,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
124,San Cristobal,VE,75.2,broken clouds,7.77,-72.22,Pirineos
127,Dzaoudzi,YT,86.0,clear sky,-12.79,45.27,Le Rocher
130,Galle,LK,80.85,heavy intensity rain,6.04,80.22,Amangalla
131,Mahibadhoo,MV,83.8,moderate rain,3.78,72.97,Omadhoo Inn
136,Mana,GF,84.85,overcast clouds,5.66,-53.78,LE SAMANA
142,Saint-Joseph,RE,77.0,overcast clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
146,Puerto Leguizamo,CO,75.79,light rain,-0.19,-74.78,la casona de juancho
155,Gat,IL,75.0,overcast clouds,31.61,34.76,OlusHome
159,Tabou,CI,82.9,light rain,4.42,-7.35,hotêl doufoulougou
160,Kisangani,CD,85.59,broken clouds,0.52,25.2,Grand Ramela Hotel
161,Inirida,CO,76.53,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
164,Kilindoni,TZ,81.48,overcast clouds,-7.91,39.67,Bustani B&B
165,Hobyo,SO,81.72,clear sky,5.35,48.53,Osmani Hotel
173,Cayenne,GF,86.0,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
180,Katobu,ID,77.0,overcast clouds,-4.94,122.53,La Ode Husein
181,Alice Springs,AU,78.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
186,Arroio Dos Ratos,BR,75.2,broken clouds,-30.08,-51.73,Hotel do Sul
188,Dire Dawa,ET,83.91,few clouds,9.59,41.87,Samrat Hotel
189,Poum,NC,75.22,broken clouds,-20.23,164.02,Gîte kajeon
191,Saint-Philippe,RE,77.0,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
193,Posadas,AR,80.6,clear sky,-27.37,-55.9,Hotel Posadas
194,Bathsheba,BB,86.0,scattered clouds,13.22,-59.52,Atlantis Hotel
199,Sawakin,SD,87.13,few clouds,19.11,37.33,فندق الدويم
204,Lamu,KE,84.2,scattered clouds,-2.27,40.9,Lamu House
208,Muzaffargarh,PK,75.2,smoke,30.08,71.19,Aghosh Hotel
210,Sao Filipe,CV,81.68,overcast clouds,14.9,-24.5,Tortuga B&B
214,Cockburn Town,TC,80.65,overcast clouds,21.46,-71.14,Osprey Beach Hotel
223,Richards Bay,ZA,82.65,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
224,Maceio,BR,84.2,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
230,Rafaela,AR,75.99,overcast clouds,-31.25,-61.49,Parra Hotel & Suites
236,Salinopolis,BR,86.63,scattered clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
248,Vila Velha,BR,84.2,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
251,Srandakan,ID,79.29,broken clouds,-7.94,110.25,Puri Brata
257,Luwuk,ID,77.16,scattered clouds,-0.95,122.79,Hotel Santika Luwuk
259,Arlit,NE,85.89,clear sky,18.74,7.39,Hôtel Telwa Bungalow
261,Kununurra,AU,84.2,overcast clouds,-15.77,128.73,Hotel Kununurra
264,Porto Novo,BJ,86.0,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
269,Iona,US,75.99,light rain,26.52,-81.96,La Quinta Inn & Suites by Wyndham Ft. Myers-Sanibel Gateway
273,Victoria,HK,78.01,broken clouds,22.29,114.16,Mini Hotel Central
277,Takoradi,GH,84.36,light rain,4.88,-1.76,Raybow International Hotel
295,Mumford,GH,83.46,broken clouds,5.26,-0.76,Spanish Villa
299,Padang,ID,77.83,heavy intensity rain,-0.95,100.35,Mercure Padang
303,Erzin,TR,75.99,clear sky,36.96,36.2,Artemis Otel
305,Touros,BR,80.6,shower rain,-5.2,-35.46,INN NEW HORIZON
308,Minab,IR,82.4,few clouds,27.15,57.08,فروشگاه موبایل ترکمانی
310,Pitimbu,BR,84.2,broken clouds,-7.47,-34.81,Reserva do Abiaí
313,Mapiripan,CO,82.62,light rain,2.89,-72.13,Monserrate
314,Mulki,IN,84.2,few clouds,13.1,74.8,KayakBoy Camping Ground
315,Mount Isa,AU,80.6,overcast clouds,-20.73,139.5,ibis Styles Mt Isa Verona
325,Brandon,US,77.0,broken clouds,27.94,-82.29,Embassy Suites by Hilton Tampa Brandon - OPEN
327,Paka,MY,78.8,overcast clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
331,Bambanglipuro,ID,79.18,broken clouds,-7.95,110.28,Puri Brata
333,Los Llanos De Aridane,ES,75.2,few clouds,28.66,-17.92,Valle Aridane
335,Isangel,VU,75.69,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
336,Chidambaram,IN,81.1,clear sky,11.4,79.7,Hotel Akshaya
337,Bengkulu,ID,77.54,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
338,Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
340,Cap Malheureux,MU,75.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
344,Yulara,AU,86.0,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
348,Gizo,SB,83.08,overcast clouds,-8.1,156.84,Imagination Island
349,Matay,EG,77.95,broken clouds,28.42,30.78,Nag Aespen
353,Kendari,ID,77.16,broken clouds,-3.94,122.5,Hotel Wixel
356,Cocorit,MX,75.2,fog,27.58,-109.97,Kaba Motel
357,Marechal Candido Rondon,BR,89.96,clear sky,-24.56,-54.06,Hotel Bender
363,Bima,ID,79.36,scattered clouds,-8.47,118.72,Lambitu Hotel
365,Bukoba,TZ,78.8,few clouds,-1.33,31.81,Elct Bukoba Hotel and Tours
372,Aden,YE,80.76,clear sky,12.78,45.04,Sama Emirate Hotel
373,Olinda,BR,86.0,broken clouds,-8.01,-34.86,Hotel 5 Sóis
375,Najran,SA,89.6,clear sky,17.49,44.13,محمد هادي ال فطيح
377,Bandarbeyla,SO,77.9,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
378,Laguna De Perlas,NI,77.0,few clouds,12.34,-83.67,Hotel Best View
382,Pucallpa,PE,82.4,scattered clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
383,Vilhena,BR,82.4,clear sky,-12.74,-60.15,Hotel Mirage
387,Lorengau,PG,81.09,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
390,Singarayakonda,IN,79.23,clear sky,15.25,80.03,srinu tiffin shop
394,Pangkalanbuun,ID,75.67,heavy intensity rain,-2.68,111.62,Grand Kecubung Hotel
396,Vieques,PR,84.2,shower rain,18.43,-65.83,Melia Coco Beach
399,Carutapera,BR,88.86,overcast clouds,-1.2,-46.02,Lidera
406,Charagua,BO,80.6,smoke,-19.8,-63.22,Residencial Luismar
421,Pasni,PK,78.26,clear sky,25.26,63.47,3G hotel pasni
427,Dingle,PH,75.79,overcast clouds,11.0,122.67,SEGAYA PROPERTY
428,Majene,ID,79.77,scattered clouds,-3.54,118.97,Kost Putri RABBANI
430,Meulaboh,ID,76.17,moderate rain,4.14,96.13,Kost Pria
435,Labuhan,ID,83.35,overcast clouds,-6.88,112.21,bador sepret
438,Salalah,OM,84.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
439,Lang Suan,TH,80.6,heavy intensity rain,9.95,99.08,Langsuan Resort
440,Kokopo,PG,77.5,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
443,Namibe,AO,78.8,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
444,Hong Gai,VN,75.2,clear sky,20.96,107.09,Hạ Long DC Hotel
445,Laem Sing,TH,79.0,broken clouds,12.48,102.07,Laemsing Whitehouse Resort
458,Aswan,EG,82.98,clear sky,24.09,32.91,Nuba Nile
460,Kapra,IN,75.2,haze,17.48,78.56,Hotel Swagath Grand - Dr AS Rao Nagar
461,Marsh Harbour,BS,79.12,moderate rain,26.54,-77.06,Abaco Beach Resort
468,Srivardhan,IN,80.38,clear sky,18.03,73.02,Savli Resort/Hotel - Shrivardhan
472,Saint-Pierre,RE,77.0,overcast clouds,-21.34,55.48,Lindsey Hôtel
488,Hambantota,LK,81.3,moderate rain,6.12,81.12,Bungalow 63
493,Ixtapa,MX,75.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
501,Basco,PH,79.72,light rain,20.45,121.97,Nathaniel's Lodge
511,Curuca,BR,89.62,scattered clouds,-0.73,-47.85,Hotel Curuça
513,Ambon,ID,78.01,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
514,Nabire,ID,77.99,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
516,Sao Jose Da Coroa Grande,BR,82.13,broken clouds,-8.9,-35.15,Crôa Mares Hotel
517,Kyaikkami,MM,81.55,light rain,16.08,97.57,Happy Family Kyaikkami
520,Miri,MY,82.4,moderate rain,4.41,114.01,"Mega Hotel, Miri"
522,Makakilo City,US,78.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
523,Mattru,SL,85.5,light rain,7.62,-11.83,Boima Gbondo's Compound
524,Tautira,PF,75.2,few clouds,-17.73,-149.15,Pension Oaoa
529,Mecca,SA,86.76,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
530,Sokoni,TZ,87.8,few clouds,-6.43,39.55,Ujamaa Beach Resort
539,Sarangani,PH,83.26,overcast clouds,5.4,125.46,Ballistic Islet
541,Quatre Cocos,MU,77.0,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
542,Araguaina,BR,89.78,overcast clouds,-7.19,-48.21,Hotel São Vicente
544,Nauta,PE,86.83,overcast clouds,-4.51,-73.58,Amazon Exploring Expedition - Eretzen Tá Lodge
545,Banda Aceh,ID,80.58,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
547,Dwarka,IN,82.08,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
548,Juba,SS,81.27,overcast clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
551,Le Port,RE,75.2,broken clouds,-20.94,55.29,Villa Maido
552,Kanniyakumari,IN,82.72,moderate rain,8.08,77.57,Sparsa
553,Yarada,IN,77.0,haze,17.65,83.27,"D-26/2, Dolphin Hill,"
560,Grand-Santi,GF,86.77,broken clouds,4.25,-54.38,Hotel La Villa Couacou
565,Sangmelima,CM,77.54,moderate rain,2.93,11.98,gamestar hotel
570,Turan,VN,78.8,broken clouds,16.07,108.22,Grand Mercure Danang
572,Jawhar,SO,81.7,moderate rain,2.78,45.5,cosoble spare parts
579,Zhuhai,CN,80.6,clear sky,22.28,113.57,珠海粤财假日酒店
582,Cururupu,BR,85.51,broken clouds,-1.83,-44.87,Pousada Través'cia
593,Vaitape,PF,79.23,light rain,-16.52,-151.75,Conrad Bora Bora Nui
594,Soyo,AO,84.2,scattered clouds,-6.13,12.37,Hotel Mpampa
595,Fare,PF,79.25,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
598,Ewa Beach,US,78.8,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
599,Leisure City,US,77.0,overcast clouds,25.5,-80.43,Hampton Inn & Suites Miami-South/Homestead
601,Morondava,MG,83.55,clear sky,-20.28,44.28,La Case Bambou
606,Nagua,DO,77.0,scattered clouds,19.38,-69.85,Hotel Cambri
608,San Miguel,SV,75.2,scattered clouds,13.48,-88.18,Excalibur
613,Kralendijk,BQ,86.0,scattered clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
618,Kavaratti,IN,84.11,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
621,Comodoro Rivadavia,AR,75.2,clear sky,-45.87,-67.5,Austral Hotel
625,Sola,VU,81.18,light rain,-13.88,167.55,Ulkel Guest House
627,Inhuma,BR,89.28,clear sky,-6.67,-41.71,Restaurante e Pousada Familiar
629,Puerto Cabezas,NI,78.8,scattered clouds,14.04,-83.39,Hotel Caribe
632,Amli,IN,77.81,clear sky,20.28,73.02,SSR Girls Hostel
633,Lae,PG,78.1,light rain,-6.72,146.98,Phils Hotel
635,Nouadhibou,MR,82.4,clear sky,20.93,-17.03,El Medina
637,Loa Janan,ID,75.02,clear sky,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
640,Kudahuvadhoo,MV,84.78,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
641,Turbat,PK,76.82,clear sky,26.0,63.04,Mubashar Quarters
643,Santa Fe,AR,80.01,overcast clouds,-31.63,-60.7,Conquistador Hotel
646,Machhlishahr,IN,75.2,haze,25.68,82.42,Dulhan pelece
647,San Andres,CO,82.4,scattered clouds,12.58,-81.7,Hotel Arena Blanca
648,Sinnamary,GF,84.65,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
650,Berberati,CF,82.54,overcast clouds,4.26,15.79,Berbérati
652,Bairiki,KI,80.6,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
654,Puri,IN,75.2,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
655,Kloulklubed,PW,77.0,shower rain,7.04,134.26,Storyboard Beach Resort
656,Mitsamiouli,KM,81.36,scattered clouds,-11.38,43.28,Foyer ADM
660,Jaisalmer,IN,77.22,clear sky,26.91,70.92,Hotel Fifu
663,La Primavera,CO,83.32,moderate rain,5.49,-70.41,La Riviera Hotel Colonial
668,Seminole,US,77.0,overcast clouds,28.71,-81.21,Ono Hot Dog Cart and Catering
669,Bata,GQ,82.4,scattered clouds,1.86,9.77,Hotel Carmen
671,Itoman,JP,75.2,light rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
676,Quelimane,MZ,89.6,broken clouds,-17.88,36.89,Hotel Flamingo
685,Simoes,BR,89.29,clear sky,-7.6,-40.82,Hotel Ponto Certo
686,Gamboma,CG,82.27,moderate rain,-1.88,15.86,Residence N'Keni
687,Mpika,ZM,89.92,few clouds,-11.83,31.45,Melodies Lodge
